Monday-Friday,FR,DE,IT,PL,ES,UK,CA
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.130685
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.039205
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.084945
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.058808
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.392054
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,1.535546
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,3.22138
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,8.050183
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,6.841349
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,5.462624
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,6.253267
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,6.782541
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,6.730267
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,6.553842
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,7.416362
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,8.128594
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,8.318087
,8.823529412,6.699346405,7.026143791,5.718954248,5.882352941,7.516339869,8.716675
,8.823529412,6.699346405,7.026143791,5.718954248,5.882352941,7.516339869,6.05724
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,3.587297
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,2.476477
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,1.718505
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0.888657
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0.55541
