Province,region,long_haul_threshold,prop_shipments_abvthreshold,prop_tonnekms_abvthreshold,mean_weight_abvthreshold
Alberta,AB,100,0.6382382465066677,0.9641386542133684,12770.024069523628
Alberta,AB,200,0.5772540286081821,0.9051615173832733,10874.788541480746
Alberta,AB,300,0.5189504998015056,0.872661327168724,10980.20800009175
Alberta,AB,400,0.2999790328967837,0.6518738798011202,8759.902313186463
Alberta,AB,500,0.27275412405187743,0.6070660301821325,7634.442726697832
Alberta,AB,600,0.25733553923722163,0.5828203439479892,7198.342829222656
Alberta,AB,700,0.24779351082932555,0.5706710852050946,7079.148376246566
Alberta,AB,800,0.20807114642726918,0.5122860529026532,6526.119554233941
Alberta,AB,900,0.18899951193246864,0.49607252721661327,6662.725224758351
Alberta,AB,1000,0.17181241178659032,0.47010416108926817,6552.213107367633
British Columbia,BC,100,0.6907111336438405,0.9721112553412868,10875.008097723354
British Columbia,BC,200,0.5006801679604198,0.8679214689967449,7708.27630443887
British Columbia,BC,300,0.478962365122851,0.8456469738790972,7121.349032912857
British Columbia,BC,400,0.3440995084531889,0.7654141985972677,6738.992032250821
British Columbia,BC,500,0.3389117506759773,0.7622297132492885,6744.892010124288
British Columbia,BC,600,0.3382490922705343,0.7601522919200076,6720.248389166739
British Columbia,BC,700,0.33392820742192897,0.7545579722336114,6602.048704668798
British Columbia,BC,800,0.2994914987484349,0.6944774311899999,6166.2989107327085
British Columbia,BC,900,0.27122863407596276,0.6674235153130057,6204.883989805912
British Columbia,BC,1000,0.24205203346788662,0.6121844327659957,5845.766200316863
Manitoba,MB,100,0.8513203378809338,0.9843672138059405,7802.353495354624
Manitoba,MB,200,0.8042527047995094,0.9436748001761224,6639.899527930455
Manitoba,MB,300,0.6217616151444026,0.9027609172271223,7150.715339670966
Manitoba,MB,400,0.6146643572813971,0.8989210052701905,7135.493240501517
Manitoba,MB,500,0.5435091450424989,0.820304270639071,6273.2718961576
Manitoba,MB,600,0.4299525389913573,0.7832306310068199,7074.384680618556
Manitoba,MB,700,0.4086040402226723,0.7630364201720158,6973.47918417701
Manitoba,MB,800,0.3813200197905338,0.7500311898248588,7191.324138856823
Manitoba,MB,900,0.3569097455497147,0.730108802074425,7317.4798564304565
Manitoba,MB,1000,0.3325707732777622,0.6846770671112141,6941.354794065231
New Brunswick,NB,100,0.9814482780959131,0.9957032847293967,9125.608335890594
New Brunswick,NB,200,0.7869873840833947,0.9106264057614328,7853.8837793673165
New Brunswick,NB,300,0.6758311746955197,0.8774699899009217,8078.866158167407
New Brunswick,NB,400,0.5500514187037754,0.8130674926021467,8122.626951900359
New Brunswick,NB,500,0.458803213655153,0.7823028860453503,8851.096980673683
New Brunswick,NB,600,0.4310715473992939,0.6906727809002535,7230.546879298213
New Brunswick,NB,700,0.3479432880278675,0.6699961196943242,8443.945998071124
New Brunswick,NB,800,0.33043347535743567,0.6290783877047368,8002.082316780205
New Brunswick,NB,900,0.24870176338849534,0.511650921868203,7585.385165317467
New Brunswick,NB,1000,0.23975221466897023,0.4938025732258136,7448.234844421816
Newfoundland and Labrador,NL,100,1.0,1.0,4599.31544342291
Newfoundland and Labrador,NL,200,0.975326706741207,0.9807539814638221,4069.597478440678
Newfoundland and Labrador,NL,300,0.975326706741207,0.9807539814638221,4069.597478440678
Newfoundland and Labrador,NL,400,0.8981466554613036,0.9483898858956903,3832.9041483966416
Newfoundland and Labrador,NL,500,0.739876076077946,0.8766139762893278,3737.417664370086
Newfoundland and Labrador,NL,600,0.7026958861874213,0.8725231780225097,3873.4373529428162
Newfoundland and Labrador,NL,700,0.5870339104858634,0.748304350491208,3616.9923309667406
Newfoundland and Labrador,NL,800,0.5868782748642595,0.7479301859575388,3613.316399617384
Newfoundland and Labrador,NL,900,0.5837616451754916,0.7412306749087743,3580.229329221081
Newfoundland and Labrador,NL,1000,0.5761502647613531,0.7171670308099621,3373.8325349280003
Nova Scotia,NS,100,0.9369714671948464,0.9965272456503924,6359.2746720312025
Nova Scotia,NS,200,0.8054082721401579,0.9580037191406576,5360.716510838487
Nova Scotia,NS,300,0.7049249360923732,0.9336889453517939,5297.93879791868
Nova Scotia,NS,400,0.5374559453680304,0.8726626816110825,4974.867612884444
Nova Scotia,NS,500,0.5084264869844531,0.8555563225698668,4824.499768509262
Nova Scotia,NS,600,0.5047877896744097,0.853231255303553,4818.671261185373
Nova Scotia,NS,700,0.5047866475490103,0.8532310991725693,4818.679616074618
Nova Scotia,NS,800,0.5047327963364272,0.8530956307823587,4817.242001936304
Nova Scotia,NS,900,0.5028837524210203,0.8496080416065767,4795.9826838293075
Nova Scotia,NS,1000,0.49627981204270727,0.8282294075462041,4600.850775350122
Ontario,ON,100,0.7391330655407361,0.969115458308721,8974.781624931078
Ontario,ON,200,0.6909135445982146,0.9381524903802043,8046.223260554097
Ontario,ON,300,0.5718635917145611,0.880038119813691,7496.14436802913
Ontario,ON,400,0.47530038223449583,0.8397668372790884,7721.408418986017
Ontario,ON,500,0.45339248616879313,0.8249032220919338,7712.428234133616
Ontario,ON,600,0.35594005466570394,0.7586545365253111,8181.374113885303
Ontario,ON,700,0.3141474129996124,0.6857852633396588,7474.947346084017
Ontario,ON,800,0.27678307993161133,0.6495215185814506,7415.740267146118
Ontario,ON,900,0.2466736963273266,0.596244521146012,6838.250220000953
Ontario,ON,1000,0.23397871361288963,0.5729624337047923,6641.944136006268
Prince Edward Island,PE,100,0.9606864009613459,0.9952800400587016,8346.608796300929
Prince Edward Island,PE,200,0.7982115762066894,0.957004416377684,7601.118365551027
Prince Edward Island,PE,300,0.6797164029641498,0.9245140157072865,7656.933337262039
Prince Edward Island,PE,400,0.5111078710194272,0.856454020016612,7421.710342976947
Prince Edward Island,PE,500,0.5099119567394352,0.8559222834696038,7425.720717878589
Prince Edward Island,PE,600,0.5020112958141397,0.8440965359030406,7240.604924456893
Prince Edward Island,PE,700,0.5020112958141397,0.8440965359030406,7240.604924456893
Prince Edward Island,PE,800,0.5020112958141397,0.8440965359030406,7240.604924456893
Prince Edward Island,PE,900,0.5017107150010014,0.8430674861007899,7229.152946601765
Prince Edward Island,PE,1000,0.49170983376727423,0.8357841130739293,7270.157436384039
Quebec,QC,100,0.8175069895971585,0.9645191380215636,9502.016267658939
Quebec,QC,200,0.7182815616376939,0.8944632673192703,8233.91160643952
Quebec,QC,300,0.5672063978492493,0.7735746940685884,6696.934276114292
Quebec,QC,400,0.5024981502081598,0.7474821736905565,6916.095171165514
Quebec,QC,500,0.4604606837306155,0.7183901244650271,6947.591168171784
Quebec,QC,600,0.29760438757347085,0.5867010112013239,7225.379630026154
Quebec,QC,700,0.2554156970587335,0.5104941874785636,6559.359931693344
Quebec,QC,800,0.21610655609029253,0.45269705643396674,6202.549165931748
Quebec,QC,900,0.17849856311148551,0.42338143349989765,6697.00596620513
Quebec,QC,1000,0.17490926328214448,0.4124937644810944,6563.596651900512
Saskatchewan,SK,100,0.5981589789492241,0.9387015057955499,13097.395395126356
Saskatchewan,SK,200,0.5350432030342285,0.8622856931058811,10838.654443651025
Saskatchewan,SK,300,0.4117046452077893,0.7465462516583038,9453.80027709095
Saskatchewan,SK,400,0.3809876453422498,0.7277300431474701,9571.983115354049
Saskatchewan,SK,500,0.35427997866008293,0.6670197083439436,8592.652909932922
Saskatchewan,SK,600,0.3068340349471981,0.5846744230218625,7712.474027252097
Saskatchewan,SK,700,0.25374836328982914,0.4973000901945079,6832.600260763579
Saskatchewan,SK,800,0.1593790592597825,0.3702502156266968,6053.5950345975
Saskatchewan,SK,900,0.12878710718888856,0.33396721204528407,6054.977986597641
Saskatchewan,SK,1000,0.12236019224804505,0.29968270067605546,5055.858587746944
Northwest Territories,NT,100,0.867119079959208,0.9948875136052222,7807.050130989079
Northwest Territories,NT,200,0.8361977742243066,0.98066552846165,7805.466564983293
Northwest Territories,NT,300,0.769820561337943,0.8700642509448236,5225.720575719904
Northwest Territories,NT,400,0.7121330684805074,0.8597850324785067,4816.560116425501
Northwest Territories,NT,500,0.7121330684805074,0.8597850324785067,4816.560116425501
Northwest Territories,NT,600,0.7121330684805074,0.8597850324785067,4816.560116425501
Northwest Territories,NT,700,0.7107320354149057,0.8595875446376952,4820.616046200488
Northwest Territories,NT,800,0.7107320354149057,0.8595875446376952,4820.616046200488
Northwest Territories,NT,900,0.7107320354149057,0.8595875446376952,4820.616046200488
Northwest Territories,NT,1000,0.6712815265153796,0.7908189627387194,4406.255628417857
Nunavut,NU,100,1.0,1.0,20237.65189895054
Nunavut,NU,200,1.0,1.0,20237.65189895054
Nunavut,NU,300,1.0,1.0,20237.65189895054
Nunavut,NU,400,1.0,1.0,20237.65189895054
Nunavut,NU,500,1.0,1.0,20237.65189895054
Nunavut,NU,600,1.0,1.0,20237.65189895054
Nunavut,NU,700,0.09513554165384747,0.19615791221598444,6387.99029823931
Nunavut,NU,800,0.09513554165384747,0.19615791221598444,6387.99029823931
Nunavut,NU,900,0.09513554165384747,0.19615791221598444,6387.99029823931
Nunavut,NU,1000,0.09513554165384747,0.19615791221598444,6387.99029823931
Yukon,YT,100,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,200,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,300,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,400,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,500,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,600,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,700,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,800,0.9283791590358782,0.9998435892025622,1521.555854472277
Yukon,YT,900,0.9270418761292544,0.9941816754747786,1501.021574263622
Yukon,YT,1000,0.9270418761292544,0.9941816754747786,1501.021574263622
